participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
cgv	that was fun	['that', 'was', 'fun']	['that', 'be', 'fun']	[('that', 'DT'), ('was', 'VBD'), ('fun', 'NN')]	[('that', 'DT'), ('be', 'VB'), ('fun', 'NN')]	[('that', 'DT'), ('was', 'VBD'), ('fun', 'JJ')]	[('that', 'DT'), ('be', 'VBP'), ('fun', 'JJ')]	time197-cond1.txt
kid	dad you should have climbed the cliffs with us	['dad', 'you', 'should', 'have', 'climbed', 'the', 'cliffs', 'with', 'us']	['dad', 'you', 'should', 'have', 'climb', 'the', 'cliff', 'with', 'u']	[('dad', 'NN'), ('you', 'PRP'), ('should', 'MD'), ('have', 'VB'), ('climbed', 'VBD'), ('the', 'DT'), ('cliffs', 'NNS'), ('with', 'IN'), ('us', 'PRP')]	[('dad', 'NN'), ('you', 'PRP'), ('should', 'MD'), ('have', 'VB'), ('climb', 'VBN'), ('the', 'DT'), ('cliff', 'NN'), ('with', 'IN'), ('u', 'JJ')]	[('dad', 'NN'), ('you', 'PRP'), ('should', 'MD'), ('have', 'VB'), ('climbed', 'VBN'), ('the', 'DT'), ('cliffs', 'NNS'), ('with', 'IN'), ('us', 'PRP')]	[('dad', 'NN'), ('you', 'PRP'), ('should', 'MD'), ('have', 'VB'), ('climb', 'VB'), ('the', 'DT'), ('cliff', 'NN'), ('with', 'IN'), ('u', 'PRP')]	time197-cond1.txt
cgv	next time i will	['next', 'time', 'i', 'will']	['next', 'time', 'i', 'will']	[('next', 'JJ'), ('time', 'NN'), ('i', 'NN'), ('will', 'MD')]	[('next', 'JJ'), ('time', 'NN'), ('i', 'NN'), ('will', 'MD')]	[('next', 'JJ'), ('time', 'NN'), ('i', 'PRP'), ('will', 'MD')]	[('next', 'JJ'), ('time', 'NN'), ('i', 'PRP'), ('will', 'MD')]	time197-cond1.txt
kid	did you have fun fishing i hope that we go there another time	['did', 'you', 'have', 'fun', 'fishing', 'i', 'hope', 'that', 'we', 'go', 'there', 'another', 'time']	['do', 'you', 'have', 'fun', 'fishing', 'i', 'hope', 'that', 'we', 'go', 'there', 'another', 'time']	[('did', 'VBD'), ('you', 'PRP'), ('have', 'VBP'), ('fun', 'VBN'), ('fishing', 'NN'), ('i', 'NN'), ('hope', 'VBP'), ('that', 'IN'), ('we', 'PRP'), ('go', 'VBP'), ('there', 'RB'), ('another', 'DT'), ('time', 'NN')]	[('do', 'VBP'), ('you', 'PRP'), ('have', 'VB'), ('fun', 'VBN'), ('fishing', 'VBG'), ('i', 'NN'), ('hope', 'VBP'), ('that', 'IN'), ('we', 'PRP'), ('go', 'VBP'), ('there', 'RB'), ('another', 'DT'), ('time', 'NN')]	[('did', 'VBD'), ('you', 'PRP'), ('have', 'VB'), ('fun', 'NN'), ('fishing', 'NN'), ('i', 'PRP'), ('hope', 'VBP'), ('that', 'IN'), ('we', 'PRP'), ('go', 'VBP'), ('there', 'RB'), ('another', 'DT'), ('time', 'NN')]	[('do', 'VBP'), ('you', 'PRP'), ('have', 'VB'), ('fun', 'NN'), ('fishing', 'NN'), ('i', 'PRP'), ('hope', 'VBP'), ('that', 'IN'), ('we', 'PRP'), ('go', 'VBP'), ('there', 'RB'), ('another', 'DT'), ('time', 'NN')]	time197-cond1.txt
cgv	i bet we will	['i', 'bet', 'we', 'will']	['i', 'bet', 'we', 'will']	[('i', 'JJ'), ('bet', 'NN'), ('we', 'PRP'), ('will', 'MD')]	[('i', 'JJ'), ('bet', 'NN'), ('we', 'PRP'), ('will', 'MD')]	[('i', 'PRP'), ('bet', 'VBP'), ('we', 'PRP'), ('will', 'MD')]	[('i', 'PRP'), ('bet', 'VBP'), ('we', 'PRP'), ('will', 'MD')]	time197-cond1.txt
kid	are we dad i'm glad momma while you're in there can you get me two crackers two graham crackers with peanut butter	['are', 'we', 'dad', 'i', 'am', 'glad', 'momma', 'while', 'you', 'are', 'in', 'there', 'can', 'you', 'get', 'me', 'two', 'crackers', 'two', 'graham', 'crackers', 'with', 'peanut', 'butter']	['be', 'we', 'dad', 'i', 'be', 'glad', 'momma', 'while', 'you', 'be', 'in', 'there', 'can', 'you', 'get', 'me', 'two', 'cracker', 'two', 'graham', 'cracker', 'with', 'peanut', 'butter']	[('are', 'VBP'), ('we', 'PRP'), ('dad', 'VBP'), ('i', 'JJ'), ('am', 'VBP'), ('glad', 'JJ'), ('momma', 'NN'), ('while', 'IN'), ('you', 'PRP'), ('are', 'VBP'), ('in', 'IN'), ('there', 'EX'), ('can', 'MD'), ('you', 'PRP'), ('get', 'VB'), ('me', 'PRP'), ('two', 'CD'), ('crackers', 'NNS'), ('two', 'CD'), ('graham', 'JJ'), ('crackers', 'NNS'), ('with', 'IN'), ('peanut', 'NN'), ('butter', 'NN')]	[('be', 'VB'), ('we', 'PRP'), ('dad', 'VB'), ('i', 'JJ'), ('be', 'VB'), ('glad', 'JJ'), ('momma', 'NN'), ('while', 'IN'), ('you', 'PRP'), ('be', 'VB'), ('in', 'IN'), ('there', 'EX'), ('can', 'MD'), ('you', 'PRP'), ('get', 'VB'), ('me', 'PRP'), ('two', 'CD'), ('cracker', 'NN'), ('two', 'CD'), ('graham', 'NN'), ('cracker', 'NN'), ('with', 'IN'), ('peanut', 'NN'), ('butter', 'NN')]	[('are', 'VBP'), ('we', 'PRP'), ('dad', 'NN'), ('i', 'PRP'), ('am', 'VBP'), ('glad', 'JJ'), ('momma', 'NN'), ('while', 'IN'), ('you', 'PRP'), ('are', 'VBP'), ('in', 'IN'), ('there', 'EX'), ('can', 'MD'), ('you', 'PRP'), ('get', 'VB'), ('me', 'PRP'), ('two', 'CD'), ('crackers', 'NNS'), ('two', 'CD'), ('graham', 'NN'), ('crackers', 'NNS'), ('with', 'IN'), ('peanut', 'NN'), ('butter', 'NN')]	[('be', 'VB'), ('we', 'PRP'), ('dad', 'NN'), ('i', 'PRP'), ('be', 'VBP'), ('glad', 'JJ'), ('momma', 'NN'), ('while', 'IN'), ('you', 'PRP'), ('be', 'VBP'), ('in', 'IN'), ('there', 'EX'), ('can', 'MD'), ('you', 'PRP'), ('get', 'VB'), ('me', 'PRP'), ('two', 'CD'), ('cracker', 'NN'), ('two', 'CD'), ('graham', 'NN'), ('cracker', 'NN'), ('with', 'IN'), ('peanut', 'NN'), ('butter', 'NN')]	time197-cond1.txt
cgv	what do you want	['what', 'do', 'you', 'want']	['what', 'do', 'you', 'want']	[('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('want', 'VB')]	[('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('want', 'VB')]	[('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('want', 'VB')]	[('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('want', 'VB')]	time197-cond1.txt
kid	peanut butter graham crackers two peanut butter graham crackers peanut butter with graham crackers	['peanut', 'butter', 'graham', 'crackers', 'two', 'peanut', 'butter', 'graham', 'crackers', 'peanut', 'butter', 'with', 'graham', 'crackers']	['peanut', 'butter', 'graham', 'cracker', 'two', 'peanut', 'butter', 'graham', 'cracker', 'peanut', 'butter', 'with', 'graham', 'cracker']	[('peanut', 'NN'), ('butter', 'NN'), ('graham', 'NN'), ('crackers', 'NNS'), ('two', 'CD'), ('peanut', 'VBP'), ('butter', 'NN'), ('graham', 'NN'), ('crackers', 'NNS'), ('peanut', 'VBP'), ('butter', 'NN'), ('with', 'IN'), ('graham', 'NN'), ('crackers', 'NNS')]	[('peanut', 'NN'), ('butter', 'NN'), ('graham', 'NN'), ('cracker', 'NN'), ('two', 'CD'), ('peanut', 'NN'), ('butter', 'NN'), ('graham', 'NN'), ('cracker', 'NN'), ('peanut', 'NN'), ('butter', 'NN'), ('with', 'IN'), ('graham', 'NN'), ('cracker', 'NN')]	[('peanut', 'NNP'), ('butter', 'NNP'), ('graham', 'NNP'), ('crackers', 'NNS'), ('two', 'CD'), ('peanut', 'NN'), ('butter', 'NN'), ('graham', 'NNP'), ('crackers', 'NNS'), ('peanut', 'NNP'), ('butter', 'NN'), ('with', 'IN'), ('graham', 'NNP'), ('crackers', 'NNS')]	[('peanut', 'NNP'), ('butter', 'NNP'), ('graham', 'NNP'), ('cracker', 'NNP'), ('two', 'CD'), ('peanut', 'NN'), ('butter', 'NN'), ('graham', 'NNP'), ('cracker', 'NNP'), ('peanut', 'NNP'), ('butter', 'NN'), ('with', 'IN'), ('graham', 'NNP'), ('cracker', 'NN')]	time197-cond1.txt
cgv	would you rather have a cheese bun	['would', 'you', 'rather', 'have', 'a', 'cheese', 'bun']	['would', 'you', 'rather', 'have', 'a', 'cheese', 'bun']	[('would', 'MD'), ('you', 'PRP'), ('rather', 'RB'), ('have', 'VBP'), ('a', 'DT'), ('cheese', 'JJ'), ('bun', 'NN')]	[('would', 'MD'), ('you', 'PRP'), ('rather', 'RB'), ('have', 'VBP'), ('a', 'DT'), ('cheese', 'JJ'), ('bun', 'NN')]	[('would', 'MD'), ('you', 'PRP'), ('rather', 'RB'), ('have', 'VB'), ('a', 'DT'), ('cheese', 'NN'), ('bun', 'NN')]	[('would', 'MD'), ('you', 'PRP'), ('rather', 'RB'), ('have', 'VB'), ('a', 'DT'), ('cheese', 'NN'), ('bun', 'NN')]	time197-cond1.txt
kid	no thank you	['no', 'thank', 'you']	['no', 'thank', 'you']	[('no', 'DT'), ('thank', 'NN'), ('you', 'PRP')]	[('no', 'DT'), ('thank', 'NN'), ('you', 'PRP')]	[('no', 'UH'), ('thank', 'VBP'), ('you', 'PRP')]	[('no', 'UH'), ('thank', 'VBP'), ('you', 'PRP')]	time197-cond1.txt
